ProductId,ProductNr,ProductName,ReportCategoryName,EANNumber,StockQty,Brand,ProductCostPriceExVat,ProductSalesPrice_InclVAT,RRP,ProductURL,ProductImage,Tag
3738,WEL0038,Wella Sp Hydrate Balsam 200ml,Hårpleie,4015600133658,386,Wella SP,61.76,199,215,https://www.blivakker.no/product/3738,http://static.blivakker.no/Media/2/0/300_300/_WEL0038_1.jpg,
3034322,idb0591,"BareMinerals - Stroke Of Light Eye Brightener - Luminous 2 5,5ml",Sminke,98132253883,390,BareMinerals,124.76,399,449,https://www.blivakker.no/product/3034322,http://static.blivakker.no/Media/2/0/300_300/5A8DB37D6795A2B8B9F146F159936FD9_3034322_0.jpg,
3025006,KER0125,Kérastase Reflection - Chroma Captive Balsamkur 200ml,Hårpleie,3474630458260,601,Kérastase,87.5,219,280,https://www.blivakker.no/product/3025006,http://static.blivakker.no/Media/2/0/300_300/AB10505A93D935D733993560B42CD0F4_3025006_0.jpg,
200013,KMS0076,Kms California - Silksheen Balsam 750ml,Hårpleie,4044897455167,174,KMS California,115.69,319,,https://www.blivakker.no/product/200013,http://static.blivakker.no/Media/2/0/300_300/8F734347A2C87DAF6C7887D1B69AFF1D_200013_1.jpg,
3041170,KMS0120,Kms California - Hairplay Molding Paste 100ml,Hårpleie,4044897355405,1101,KMS California,74.75,199,275,https://www.blivakker.no/product/3041170,http://static.blivakker.no/Media/2/0/300_300/01716F8335EFF369D2EAD12FC34F9C94_3041170_0.jpg,
4679,RED0134,Redken Body Full Shampoo 1000ml,Hårpleie,884486045126,799,Redken,181.44,519,960,https://www.blivakker.no/product/4679,http://static.blivakker.no/Media/2/0/300_300/A77D9DB674CB5F5229ADDDADBD39AC28_4679_0.jpg,
200742,PUK0002,Pukka Økologisk Te - Detox - 20 poser,Helsekost,850835000122,770,Pukka,23.00,769.500000,769.500000,https://www.blivakker.no/product/200742,http://static.blivakker.no/Media/2/0/300_300/6F4345BB907B4C1F57F6FE9E402A5C17_200742_2.jpg,
4736,KMS0068,Kms California - Addvolume Shampoo 750ml,Hårpleie,4044897155067,,KMS California,100.22,299,,https://www.blivakker.no/product/4736,http://static.blivakker.no/Media/2/0/300_300/5A0A63E67ABDA61F0359102C4B586ED7_4736_0.jpg,
3010245,MTS0026,Matis Réponse Délicate - Delicate Moisturising Cream 50ml,Hudpleie,3579200466840,284,Matis,179.05,569,669,https://www.blivakker.no/product/3010245,http://static.blivakker.no/Media/2/0/300_300/3C939691C23F458EF7DC48EF3CD31FF3_3010245_0.jpg,
4204,SEH0033,Curly Sexy Hair - Curling Creme 150ml,Hårpleie,646630007295,,SEXY HAIR,36.76,179,259,https://www.blivakker.no/product/4204,http://static.blivakker.no/Media/2/0/300_300/F6640D79850A2BAAB12EE51E57659BE2_4204_0.jpg,
