Exit Date,Product Number,Launch Date,Product Description,ACV Fall,Future Product Policy,ACV Spg,Present Product Policy,Theme,NIP ($),On Shelf,Item ID,Margin,Case Pack,RRP
,41535,,Boogly,,,,,Mixels,,,,,,5.99
12/31/2015,70785,1/1/2015,Pohatu – Master of Stone,0,C,0,C,LEGO® BIONICLE,11.87,January,6100338,34%,4,17.99
12/31/2015,79119,4/1/2014,Mutation Chamber Unleashed,0,A,0,A,LEGO® Teenage Mutant Ninja Turtles™,20.99,Full Year,6062120,30%,3,29.99
7/31/2015,79117,7/6/2014,Turtle Lair Invasion,0,C,0,C,LEGO® Teenage Mutant Ninja Turtles™,83.99,Spring Only,6062116,30%,2,119.99
7/31/2015,79116,7/6/2014,Big Rig Snow Getaway,0,C,0,C,LEGO® Teenage Mutant Ninja Turtles™,62.99,Spring Only,6062108,30%,3,89.99
7/31/2015,79115,7/6/2014,Turtle Van Takedown,0,A,0,A,LEGO® Teenage Mutant Ninja Turtles™,34.99,Spring Only,6062106,30%,4,49.99
,9841,,Intelligent NXT Brick,,,,,MINDSTORMS Education,,,,,,201.95
12/31/2015,41037,1/1/2014,Stephanie's Beach House,0,A,0,A,LEGO® Friends,32.49,Full Year,6059305,35%,3,49.99
12/31/2015,41036,8/1/2014,Jungle Bridge Rescue,0,A,0,A,LEGO® Friends,25.99,Full Year,6061778,35%,4,39.99
12/31/2015,41035,1/1/2014,Heartlake Juice Bar,0,A,0,A,LEGO® Friends,25.99,Full Year,6059303,35%,4,39.99
12/31/2015,41034,8/1/2014,Summer Caravan,0,A,0,A,LEGO® Friends,24.79,Full Year,6061776,38%,3,39.99
12/31/2015,41033,8/1/2014,Jungle Falls Rescue,0,A,0,A,LEGO® Friends,15.49,Full Year,6061772,38%,3,24.99
12/31/2015,41032,8/1/2014,First Aid Jungle Bike,0,A,0,A,LEGO® Friends,11.15,Full Year,6061770,38%,6,17.99
7/31/2015,41030,8/1/2014,Olivia’s Ice Cream Bike,0,A,0,A,LEGO® Friends,8.05,Spring Only,6061765,38%,5,12.99
12/31/2015,41039,1/1/2014,Sunshine Ranch,0,A,0,A,LEGO® Friends,58.49,Full Year,6059307,35%,3,89.99
12/31/2015,41038,8/1/2014,Jungle Rescue Base,0,A,0,A,LEGO® Friends,45.49,Full Year,6061783,35%,3,69.99
12/31/2016,76039,6/1/2015,Ant-Man Final Battle,0,A,0,,LEGO® Super Heroes,17.49,June,6102244,30%,4,24.99
,66536,,Star Wars Constraction CoPack TRU,,,,,Constraction Star Wars,,,,,,0
,41536,,Gox,,,,,Mixels,,,,,,5.99
,41537,,Jinky,,,,,Mixels,,,,,,5.99
12/31/2015,30272,1/1/2015,A-Wing Starfighter™,0,D,0,D,LEGO® Co-Promotion,3.49,January,6102291,30%,30,4.99
12/31/2015,30275,1/1/2015,TIE Advanced Prototype™,0,D,0,D,LEGO® Co-Promotion,3.49,January,6102296,30%,30,4.99
12/31/2015,30274,1/1/2015,AT-DP™,0,D,0,D,LEGO® Co-Promotion,3.49,January,6102294,30%,30,4.99
12/31/2015,30276,9/4/2015,SW2,0,F,0,,LEGO® Co-Promotion,3.49,September,6114443,30%,30,4.99
12/31/2015,76040,1/1/2015,Brainiac Attack,0,D,0,D,LEGO® Super Heroes,20.99,January,6100876,30%,3,29.99
12/31/2015,76041,3/1/2015,The Hydra Fortress Smash,0,D,0,D,LEGO® Super Heroes,41.99,March,6102247,30%,3,59.99
12/31/2015,31023,8/1/2014,Yellow Racers,0,A,0,A,LEGO® Creator,24.79,Full Year,6060896,38%,3,39.99
12/31/2015,31022,1/1/2014,Turbo Quad,0,A,0,A,LEGO® Creator,18.59,Full Year,6060891,38%,3,29.99
12/31/2015,31021,1/1/2014,Furry Creatures,0,A,0,A,LEGO® Creator,15.49,Full Year,6060887,38%,4,24.99
12/31/2015,31020,1/1/2014,Twinblade Adventures,0,A,0,A,LEGO® Creator,12.39,Full Year,6060884,38%,6,19.99
12/31/2015,31026,8/1/2014,Bike Shop & Café,0,A,0,A,LEGO® Creator,68.19,Full Year,6060903,38%,3,109.99
12/31/2015,31025,1/1/2014,Mountain Hut,0,A,0,A,LEGO® Creator,30.99,Full Year,6060893,38%,4,49.99
12/31/2016,31024,8/1/2014,Roaring Power,0,A,0,A,LEGO® Creator,24.79,Full Year,6060899,38%,3,39.99
