sku,Nisbets Code,manufacturer,name,price,url_path,url_key
LB1SS,,Blizzard Refrigeration,Blizzard LB1SS Upright Single Door Freezer,874,blizzard-lb1ss-upright-single-door-freezer.html,blizzard-lb1ss-upright-single-door-freezer
LB2SS,,Blizzard Refrigeration,Blizzard LB2SS Upright Double Door Freezer,1332,blizzard-lb2ss-upright-double-door-freezer.html,blizzard-lb2ss-upright-double-door-freezer
BCC2EN,,Blizzard Refrigeration,Blizzard BCC2EN Two Door Refrigerated Prep Counter,615,blizzard-bcc2en-two-door-refrigerated-prep-counter.html,blizzard-bcc2en-two-door-refrigerated-prep-counter
BCC3EN,,Blizzard Refrigeration,Blizzard BCC3EN Three Door Refrigerated Prep Counter,777,blizzard-bcc3en-three-door-refrigerated-prep-counter.html,blizzard-bcc3en-three-door-refrigerated-prep-counter
BCC2PREPGRANITE,,Blizzard Refrigeration,Blizzard BCC2PREPGRANITE Two Door Refrigerated Prep Counter,571,blizzard-bcc2prepgranite-two-door-refrigerated-prep-counter.html,blizzard-bcc2prepgranite-two-door-refrigerated-prep-counter
BCC3PREPGRANITE,,Blizzard Refrigeration,Blizzard BCC3PREPGRANITE Three Door Refrigerated Prep Counter,732,blizzard-bcc3prepgranite-three-door-refrigerated-prep-counter.html,blizzard-bcc3prepgranite-three-door-refrigerated-prep-counter
BCC3PIZZA,,Blizzard Refrigeration,Blizzard BCC3PIZZA Two Door Refrigerated Pizza Prep Counter,622,blizzard-bcc3pizza-two-door-refrigerated-pizza-prep-counter.html,blizzard-bcc3pizza-two-door-refrigerated-pizza-prep-counter
HBC2,,Blizzard Refrigeration,Blizzard HBC2 Two Door Refrigerated Counter,710,blizzard-hbc2-two-door-refrigerated-counter.html,blizzard-hbc2-two-door-refrigerated-counter
HBC3,,Blizzard Refrigeration,Blizzard HBC3 Three Door Refrigerated Counter,832,blizzard-hbc3-three-door-refrigerated-counter.html,blizzard-hbc3-three-door-refrigerated-counter
HBC4,,Blizzard Refrigeration,Blizzard HBC4 Four Door Refrigerated Counter,964,blizzard-hbc4-four-door-refrigerated-counter.html,blizzard-hbc4-four-door-refrigerated-counter
LBC2,,Blizzard Refrigeration,Blizzard LBC2 Two Door Freezer Counter,830,blizzard-lbc2-two-door-freezer-counter.html,blizzard-lbc2-two-door-freezer-counter
LBC3,,Blizzard Refrigeration,Blizzard LBC3 Three Door Freezer Counter,922,blizzard-lbc3-three-door-freezer-counter.html,blizzard-lbc3-three-door-freezer-counter
LBC4,,Blizzard Refrigeration,Blizzard LBC4 Four Door Freezer Counter,1076,blizzard-lbc4-four-door-freezer-counter.html,blizzard-lbc4-four-door-freezer-counter
HBC2EN,,Blizzard Refrigeration,Blizzard HBC2EN Two Door Refrigerated Prep Counter,933,blizzard-hbc2en-two-door-refrigerated-prep-counter.html,blizzard-hbc2en-two-door-refrigerated-prep-counter
HBC3EN,,Blizzard Refrigeration,Blizzard HBC3EN Three Door Refrigerated Prep Counter,1226,blizzard-hbc3en-three-door-refrigerated-prep-counter.html,blizzard-hbc3en-three-door-refrigerated-prep-counter
