Unique product code,Product name,Brand,Category,Price,RRP,Shipping cost,Cost price,Stock availability,Product page URL,EAN
425711AG,SILENTNIGHT SOFT LIKE DOWN 13.5 TOG DUVET & PILLOW - SINGLE,Silentnight,BUNDLES,17.99,,Free Shipping,6,In Stock,https://www.sleepypeople.com/silentnight-soft-like-down-13-5-tog-duvet-pillow.html,5012701425711
418461LS,SILENTNIGHT HOLLOWFIBRE 13.5 TOG DUVET - SINGLE,Silentnight,DUVETS,17.99,,Free Shipping,5.993,In Stock,https://www.sleepypeople.com/silentnight-microfibre-duvet-13-5-tog.html,5012701418461
150489,SILENTNIGHT ULTRABOUNCE 4.5 TOG DUVET - DOUBLE,Silentnight,DUVETS,17.99,,Free Shipping,5.98,In Stock,https://www.sleepypeople.com/silentnight-ultrabounce-duvet-4-5-tog.html,5012701244992
364881LS,SILENTNIGHT COOLER SUMMER MATTRESS TOPPER - DOUBLE,Silentnight,MATTRESS TOPPERS,17.99,,Free Shipping,5.98,Out Of Stock,https://www.sleepypeople.com/silentnight-cooler-summer-mattress-topper.html,5012701350037
150083,SILENTNIGHT DEEP SLEEP 10.5 TOG DUVET - SINGLE,Silentnight,DUVETS,18.99,,Free Shipping,6.5,In Stock,https://www.sleepypeople.com/silentnight-deep-sleep-duvet-10-5-tog.html,5012701216418
150491,SILENTNIGHT ULTRABOUNCE 13.5 TOG DUVET - SINGLE,Silentnight,DUVETS,18.99,,Free Shipping,6.5,In Stock,https://www.sleepypeople.com/silentnight-ultrabounce-duvet-13-5-tog.html,5012701216258
351430LS,SILENTNIGHT BOUNCE BACK 13.5 TOG DUVET - SINGLE,Silentnight,DUVETS,18.99,,Free Shipping,6.5,In Stock,https://www.sleepypeople.com/silentnight-bounce-back-duvet-13-5-tog.html,5012701351430
364874LS,SILENTNIGHT COOLER SUMMER MATTRESS TOPPER - SINGLE,Silentnight,MATTRESS TOPPERS,15.99,,Free Shipping,4.82,In Stock,https://www.sleepypeople.com/silentnight-cooler-summer-mattress-topper.html,5012701350020
275095LS,SILENTNIGHT DUCK FEATHER AND DOWN MATTRESS TOPPER - SUPER KING,Silentnight,MATTRESS TOPPERS,56.99,,Free Shipping,27.43,In Stock,https://www.sleepypeople.com/silentnight-duck-feather-and-down-mattress-topper.html,5012701275095
150490,SILENTNIGHT ULTRABOUNCE 4.5 TOG DUVET - KING,Silentnight,DUVETS,19.99,,Free Shipping,7.02,In Stock,https://www.sleepypeople.com/silentnight-ultrabounce-duvet-4-5-tog.html,5012701245005
425728AG,SILENTNIGHT SOFT LIKE DOWN 13.5 TOG DUVET & PILLOW PAIR - DOUBLE,Silentnight,BUNDLES,19.99,,Free Shipping,7,Out Of Stock,https://www.sleepypeople.com/silentnight-soft-like-down-13-5-tog-duvet-pillow.html,5012701425728
