sku,category,name,url,price,dealer,image_url,shipping_cost,identifier,brand,stock
23299220004,,Jarrow Extending Clear Dining Table & 4 Alcora Chairs,http://www.harveysfurniture.co.uk/collection/jarrow/#/jarrow-extending-clear-dining-table-and-4-alcora-chairs,449.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/998148_clear_IS_0,59,3889:3910,Steinhoff Great Bright,
23230020008,Dining > Dining Tables,Jarrow Smoked Grey Extending Dining Table,http://www.harveysfurniture.co.uk/collection/jarrow/#/jarrow-extending-dining-table,499.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/987848_grey_IS_0,59,3045:2848,Steinhoff Great Bright,
23230010006,Dining > Dining Tables,Jarrow Clear Extending Dining Table,http://www.harveysfurniture.co.uk/collection/jarrow/#/jarrow-extending-dining-table,399.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/987848_clear_IS_0,59,3045:2840,Steinhoff Great Bright,
23208020001,Dining > Dining Chairs,Alcora Dining Chair Pair In Black,http://www.harveysfurniture.co.uk/collection/alcora/#/alcora-dining-chair-pair,150.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/988081_black_IS_0,59,3941:3935,Steinhoff Tianjian,
23208030003,Dining > Dining Chairs,Alcora Dining Chair Pair In White,http://www.harveysfurniture.co.uk/collection/alcora/#/alcora-dining-chair-pair,150.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/988081_white_IS_0,59,3941:3934,Steinhoff Tianjian,
23208040005,Dining > Dining Chairs,Alcora Dining Chair Pair In Purple,http://www.harveysfurniture.co.uk/collection/alcora/#/alcora-dining-chair-pair,150.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/988081_purple_IS_0,59,3941:3933,Steinhoff Tianjian,
23299310003,,Tilbury Dining Table & 4 Chairs,http://www.harveysfurniture.co.uk/collection/tilbury/#/tilbury-dining-tableand-4-chairs,449.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/999138_chromeglass_IS_0,59,3984:3978,Steinhoff Great Bright,
23227020012,Dining > Dining Tables,Tilbury Dining Table With Chrome Frame,http://www.harveysfurniture.co.uk/collection/tilbury/#/tilbury-dining-table,249.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/987780_chromeglass_IS_0,59,3109:2791,Steinhoff Great Bright,
23227030014,Dining > Dining Chairs,Tilbury Dining Chairs (Pair) In Cappuccino,http://www.harveysfurniture.co.uk/collection/tilbury/#/tilbury-dining-chairs-pair,120.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/987781_cappuccino_IS_0,59,3118:2801,Steinhoff Great Bright,
23227040016,Dining > Dining Chairs,Tilbury Dining Chairs (Pair) In Black,http://www.harveysfurniture.co.uk/collection/tilbury/#/tilbury-dining-chairs-pair,120.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/987781_black_IS_0,59,3118:2813,Steinhoff Great Bright,
