price,name,country,chain,area,rooms
"US$19","Hotel Oranjje",Indonesia,Independent,"Jalan Hayam Wuruk No 302, 80361 Denpasar, Indonesia","Hotel Rooms: 75"
"US$21","Bali Tulip Hotel",Indonesia,Independent,"Jl. Gatot Subroto Barat, Mudu Taki, Kubu Gunung 27XX Tegaljaya, 80361 Denpasar, Indonesia","Hotel Rooms: 18"
"US$23","Bali Fountain Hotel",Indonesia,Independent,"Jl. Laviana No. 10, 81119 Lovina, Indonesia","Hotel Rooms: 4"
"US$23","Sylvia Bali Suite Residence",Indonesia,Independent,"Jl. Tukad Baru Timur Pemogan, 80221 Denpasar, Indonesia","Hotel Rooms: 42"
"US$60","Puri Yuma Hotel",Indonesia,Independent,"Jl. Mertasari 59, Sidakarya, 80223 Denpasar, Indonesia","Hotel Rooms: 62"
"US$13","Kori Bata Hotel",Indonesia,Independent,"Jalan Manggasari No. 14, Kebo Iwa Selatan, Padang Sambian, 80361 Denpasar, Indonesia","Hotel Rooms: 20"
"US$20","Taman Suci Hotel",Indonesia,Independent,"Jl. Imam Bonjol No. 45, 80037 Denpasar, Indonesia","Hotel Rooms: 45"
"US$30","Beji Bay Resort",Indonesia,Independent,"Jalan Raya Silayukti, 80812 Padangbai, Indonesia","Hotel Rooms: 24"
"US$23","Legian Guest House",Indonesia,Independent,"Jalan Nakula Timur, Banjar Legian Kaja, 80361 Kuta, Indonesia","Hotel Rooms: 14"
"US$12","Hotel Puri Royan",Indonesia,Independent,"Jalan Teuku Umar 168, 80361 Denpasar, Indonesia","Hotel Rooms: 14"
"US$20","Hotel Ratna",Indonesia,Independent,"Jl. Raya Kuta 100X, Kuta Bali, 80361 Kuta, Indonesia","Hotel Rooms: 52"
"US$15","ZEN Rooms Raya Gelogor Carik Denpasar",Indonesia,Independent,"Jl. Gelogor Carik 103, 80221 Denpasar, Indonesia","Hotel Rooms: 2"
"US$21","ZenRooms Denpasar Mahendradata",Indonesia,"Hotel Chain:
ZEN Rooms","Jalan Mahendradata , 80361 Denpasar, Indonesia","Hotel Rooms: 4,"
"US$23","Nirmala Hotel & Convention Centre",Indonesia,Independent,"Jalan Mahendradatta No. 81, 80118 Denpasar, Indonesia","Hotel Rooms: 25"
"US$22","J Hotel Kuta",Indonesia,Independent,"Jl. Raya Kuta No.88D, 80361 Kuta, Indonesia","Hotel Rooms: 91"
"US$18","LucksME Home",Indonesia,Independent,"Jl. P. Flores No. 5, 80114 Denpasar, Indonesia","Hotel Rooms: 30"
"US$73","The Niche Bali",Indonesia,Independent,"JL. Legian 190, 80361 Legian, Indonesia","Hotel Rooms: 35"
"US$38","ZEN Rooms By Pass Sanur 7",Indonesia,Independent,"Jalan By Pass Ngurah Rai No.28, 80237 Denpasar, Indonesia","Hotel Rooms: 10"
"US$24","ZenRooms Kuta Sunset Road",Indonesia,"Hotel Chain:
ZEN Rooms","Sunset Road Street, 80361 Kuta, Indonesia","Hotel Rooms: 5,"
"US$16","NIDA Rooms Pura Demak Denpasar",Indonesia,Independent,"Jalan Pura Demak No. 8, 40263 Denpasar, Indonesia","Hotel Rooms: 5"
"US$12","Hotel Sentral",Indonesia,Independent,"Jalan A.Yani No. 48, 81117 Lovina, Indonesia","Hotel Rooms: 43"
"US$42","The Brothers Villa",Indonesia,Independent,"Jl Labuan Sait Padang-Padang, 80361 Uluwatu, Indonesia","Hotel Rooms: 18"
"US$19","ZEN Rooms Soputan Raya",Indonesia,Independent,"Jalan Gunung Soputan Utara No.21, 80117 Denpasar, Indonesia","Hotel Rooms: 5"
"US$60","ZEN Rooms Raya Kuta 3",Indonesia,Independent,"Jl. Raya Kuta No. 88, 80361 Kuta, Indonesia","Hotel Rooms: 5"
"US$79","Melka Excelsior Hotel",Indonesia,Independent,"Jalan Raya Kalibukbuk, 81151 Lovina, Indonesia","Hotel Rooms: 58"
"US$29","ZenRooms Denpasar Marlboro",Indonesia,"Hotel Chain:
ZEN Rooms","Jl. Teuku Umar Barat Marlboro No. 350, 80117 Denpasar, Indonesia","Hotel Rooms: 5,"
"US$18","The Ratna",Indonesia,Independent,"Jalan Majapahit Gg Ratna No. 5, 80361 Kuta, Indonesia","Hotel Rooms: 34"
"US$22","Bali Paradise City Hotel",Indonesia,Independent,"Jl. Teuku Umar Barat No 234 , 80361 Denpasar, Indonesia","Hotel Rooms: 36"
"US$24","NIDA Rooms Raya Tuban 62 Kuta",Indonesia,Independent,"Jalan Raya Tuban No. 62, 29444 Tuban, Indonesia","Hotel Rooms: 5"
"US$20","ZenRooms Denpasar Gunung Soputan",Indonesia,"Hotel Chain:
ZEN Rooms","Jl. Gunung Soputan, 80361 Denpasar, Indonesia","Hotel Rooms: 5,"
"US$20","Arya Hotel & Spa",Indonesia,Independent,"Jl Raya Kuta, 80361 Kuta, Indonesia","Hotel Rooms: 37"
"US$134","The Point Resort Lembongan",Indonesia,Independent,"Tanjung Sanghyang, Lembongan Island, 80114 Lembongan, Indonesia","Hotel Rooms: 4"
"US$154","Grand Kesambi Resort and Spa",Indonesia,Independent,"Jalan Raya Kesambi, 80361 Kerobokan, Indonesia","Hotel Rooms: 32"
"US$130","Rumah Luwih Beach Resort and Spa Bali",Indonesia,Independent,"Jalan Prof. Dr. Ida Bagus Mantra Km 19.9, Pantai Lebih, 80515 Keramas, Indonesia","Hotel Rooms: 75"
"US$10","Berlian Beach Inn Kuta",Indonesia,Independent,"Jl. Poppies 1, Gang Sorga, 80361 Kuta, Indonesia","Hotel Rooms: 27"
"US$105","Park Hotel Nusa Dua Bali",Indonesia,Independent,"Jl. Kebo Iwa, Taman Mumbul, 80363 Nusa Dua, Indonesia","Hotel Rooms: 116"
"US$18","ZEN Rooms Legian Sri Laksmi",Indonesia,Independent,"Jalan Nakula-LC. Shri Laksmi I No.18, 80361 Seminyak, Indonesia","Hotel Rooms: 3"
"US$18","Hotel Bayt Kaboki",Indonesia,Independent,"Jalan Griya Anyar No. 27, 80361 Kuta, Indonesia","Hotel Rooms: 68"
"US$30","Paradiso Beach Inn",Indonesia,Independent,"Jalan Legian No. 61, 80361 Legian, Indonesia","Hotel Rooms: 40"
"US$28","ZenRooms Kerobokan Rajawali",Indonesia,"Hotel Chain:
ZEN Rooms","Jalan Kuwum II Gang Rajawali, 80361 Kerobokan, Indonesia","Hotel Rooms: 3,"
"US$30","Signature Hotel Bali",Indonesia,Independent,"Jalan Mertanadi No. 74, 80361 Seminyak, Indonesia","Hotel Rooms: 99"
"US$42","Sooly Hotel & Restaurant",Indonesia,Independent,"Jalan Suli 42, 80234 Denpasar, Indonesia","Hotel Rooms: 12"
"US$80","Bali Shangrila Beach Club",Indonesia,Independent,"Dusun Samuh, 80851 Candidasa, Indonesia","Hotel Rooms: 22"
"US$42","Surya Tropical Kuta",Indonesia,Independent,"Jalan Legian Gang Tropozone, 80361 Legian, Indonesia","Hotel Rooms: 18"
"US$32","ZenRooms Kerobokan Jaya Wijaya",Indonesia,"Hotel Chain:
ZEN Rooms","Jl. Gunung Jaya Wijaya (ex. Jl. Gunung Tangkuban Perahu), 80361 Kerobokan, Indonesia","Hotel Rooms: 2,"
"US$22","ZenRooms Kuta Kartika Plaza Samudra",Indonesia,"Hotel Chain:
ZEN Rooms","Jalan Kartika Plaza Gang Samudra No. 101, 80361 Tuban, Indonesia","Hotel Rooms: 4,"
