,Brand,,,Model Number,Cost Price,Discontinued,NEW,All Best-seller,Ray-Ban Best-seller
,Polo Ralph Lauren,,,PH3097 930487 59,46.88,NO,NO,NO,NO
,Polo Ralph Lauren,,,PH3097 930587 59,46.88,NO,NO,NO,NO
,Polo Ralph Lauren,,,PH4106 556873 57,46.88,NO,NO,NO,NO
,Polo Ralph Lauren,,,PH4106 557073 57,46.88,NO,NO,NO,NO
,Dolce & Gabbana,,,DG2148 12796G 54,47.07,NO,NO,NO,NO
,Dolce & Gabbana,,,DG2152 01/87 61,47.07,NO,NO,NO,NO
,Dolce & Gabbana,,,DG2152 04/6G 61,47.07,NO,NO,NO,NO
,Dolce & Gabbana,,,DG2152 11086G 61,47.07,NO,NO,NO,NO
,Dolce & Gabbana,,,DG4272 30038G 53,47.07,NO,NO,NO,NO
,Dolce & Gabbana,,,DG4272 300413 53,47.07,NO,NO,NO,NO
,Dolce & Gabbana,,,DG4272 3005F9 53,47.07,NO,NO,NO,NO
,Dolce & Gabbana,,,DG4272 300713 53,47.07,NO,NO,NO,NO
,Dolce & Gabbana,,,DG6099 301725 58,47.07,NO,NO,NO,NO
,Dolce & Gabbana,,,DG6101 193487 53,47.07,NO,NO,NO,NO
,Dolce & Gabbana,,,DG6101 302813 53,47.07,NO,NO,NO,NO
,Dolce & Gabbana,,,DG6101 501/6G 53,47.07,NO,NO,NO,NO
,Oakley,,,OX3173 01 52,47.67,NO,NO,NO,NO
,Oakley,,,OX3174 04 53,47.67,NO,NO,NO,NO
,Oakley,,,OX8105 01 50,47.67,NO,NO,NO,NO
,Police,,,SPL144 955B 63,48,NO,NO,NO,NO
,Dolce & Gabbana,,,DG5016 2616 52,48.28,NO,NO,YES,NO
,Dolce & Gabbana,,,DG5016 2651 52,48.28,NO,NO,NO,NO
,Guess,,,GU2290 B84 52,48.45,NO,NO,NO,NO
,Guess,,,GU2290 D96 52,48.45,NO,NO,NO,NO
,Guess,,,GU2406 B84 52,48.45,NO,NO,NO,NO
,Guess,,,GU2406 E50 52,48.45,NO,NO,NO,NO
,Oakley,,,OO9013 24-325 55,49.59,NO,NO,NO,NO
,Oakley,,,OO9013 73 55,49.59,NO,NO,NO,NO
,Oakley,,,OO9013 74 55,49.59,NO,NO,NO,NO
,Oakley,,,OO9102 05 55,49.85,NO,NO,NO,NO
,Oakley,,,OO9102 06 55,49.85,NO,NO,NO,NO
,Oakley,,,OO9102 36 55,49.85,NO,NO,NO,NO
,Oakley,,,OO9102 A2 55,49.85,NO,NO,NO,NO
,Oakley,,,OO9223 29 55,49.85,NO,NO,NO,NO
,Oakley,,,OO9262 06 57,49.85,NO,NO,NO,NO
,Oakley,,,OO9315 06 55,49.85,NO,NO,NO,NO
,Oakley,,,OO9342 05 57,49.85,NO,NO,NO,NO
,Oakley,,,OO9343 04 45,49.85,NO,NO,NO,NO
,Oakley,,,OO9343 05 45,49.85,NO,NO,NO,NO
,Oakley,,,OO9343 07 45,49.85,NO,NO,NO,NO
,Oakley,,,OO9135 01 56,49.98,NO,NO,NO,NO
,Oakley,,,OO9265 01 53,49.98,NO,NO,NO,NO
,Oakley,,,OO9265 02 53,49.98,NO,NO,NO,NO
,Oakley,,,OO9265 03 53,49.98,NO,NO,NO,NO
,Oakley,,,OO9272 01 55,49.98,NO,NO,NO,NO
,Oakley,,,OO9272 08 55,49.98,NO,NO,NO,NO
,Police,,,SPL165 0700 55,50,NO,NO,NO,NO
,Ray-Ban,,,RB2132 605371 52,50.13,NO,NO,NO,NO
,Ray-Ban,,,RB2132 605371 55,50.13,NO,NO,YES,YES
,Ray-Ban,,,RB2132 605485 52,50.13,NO,NO,NO,NO
,Ray-Ban,,,RB2132 614371 52,50.13,NO,NO,NO,NO
,Ray-Ban,,,RB2132 614585 52,50.13,NO,NO,NO,NO
,Ray-Ban,,,RB2132 618185 52,50.13,NO,NO,NO,NO
,Ray-Ban,,,RB2132 619171 52,50.13,NO,NO,NO,NO
,Ray-Ban,,,RB2132 619285 55,50.13,NO,NO,NO,NO
,Ray-Ban,,,RB2132 710/51 52,50.13,NO,NO,YES,YES
,Ray-Ban,,,RB2132 710/51 55,50.13,NO,NO,YES,YES
,Ray-Ban,,,RB2132 789/3F 52,50.13,NO,NO,YES,YES
,Ray-Ban,,,RB2132 874/51 52,50.13,NO,NO,NO,NO
,Ray-Ban,,,RB2140 902 47,50.13,NO,NO,YES,YES
,Ray-Ban,,,RB2140 902 50,50.13,NO,NO,YES,YES
,Ray-Ban,,,RB2140 902 54,50.13,NO,NO,YES,YES
,Ray-Ban,,,RB2140 954 50,50.13,NO,NO,NO,NO
,Ray-Ban,,,RB2180 616613 49,50.13,NO,NO,YES,YES
,Ray-Ban,,,RB2180 62297E 49,50.13,NO,NO,NO,NO
,Ray-Ban,,,RB2180 62313D 49,50.13,NO,NO,NO,NO
,Ray-Ban,,,RB2180 62327B 49,50.13,NO,NO,NO,NO
,Ray-Ban,,,RB2180 62327B 51,50.13,NO,NO,NO,NO
,Ray-Ban,,,RB3016 W0365 49,50.13,NO,NO,YES,YES
,Ray-Ban,,,RB3016 W0365 51,50.13,NO,NO,YES,YES
,Ray-Ban,,,RB3016 W0366 49,50.13,NO,NO,YES,YES
,Ray-Ban,,,RB3016 W0366 51,50.13,NO,NO,YES,YES
,Ray-Ban,,,RB3025 181 62,50.13,NO,NO,NO,NO
,Ray-Ban,,,RB3026 L2821 62,50.13,NO,NO,NO,NO
,Ray-Ban,,,RB3026 L2846 62,50.13,NO,NO,YES,YES
,Ray-Ban,,,RB3029 181 62,50.13,NO,NO,NO,NO
,Ray-Ban,,,RB3030 L0216 58,50.13,NO,NO,NO,NO
,Ray-Ban,,,RB3030 L9500 58,50.13,NO,NO,NO,NO
,Ray-Ban,,,RB3044 L0207 52,50.13,NO,NO,NO,NO
,Ray-Ban,,,RB3119 001 62,50.13,NO,NO,NO,NO
,Ray-Ban,,,RB3136 001 55,50.13,NO,NO,NO,NO
,Ray-Ban,,,RB3136 001 58,50.13,NO,NO,YES,YES
,Ray-Ban,,,RB3136 004 55,50.13,NO,NO,NO,NO
,Ray-Ban,,,RB3136 181 55,50.13,NO,NO,NO,NO
,Ray-Ban,,,RB3362 001 56,50.13,NO,NO,NO,NO
,Ray-Ban,,,RB3362 001 59,50.13,NO,NO,NO,NO
,Ray-Ban,,,RB3362 004 56,50.13,NO,NO,YES,YES
,Ray-Ban,,,RB3362 004 59,50.13,NO,NO,NO,NO
,Ray-Ban,,,RB3386 004/71 63,50.13,NO,NO,NO,NO
,Ray-Ban,,,RB3447 001 47,50.13,NO,NO,YES,YES
,Ray-Ban,,,RB3447 001 50,50.13,NO,NO,YES,YES
,Ray-Ban,,,RB3447 029 47,50.13,NO,NO,YES,YES
,Ray-Ban,,,RB3447 029 50,50.13,NO,NO,YES,YES
,Ray-Ban,,,RB3498 002/71 61,50.13,NO,NO,YES,YES
,Ray-Ban,,,RB3523 006/3R 59,50.13,NO,NO,NO,NO
