"MTS Stockcode","Website","Pattern","Brand","Segment","Full Tyre Size","Width","Aspect Ratio","Rim","Load rating","Speed rating","Alternative speed rating","XL","Run Flat","Manufacturer mark","Fitted or Delivered","Price"
"2254517ZBRRE070C","BlackCircles","Bridgestone Potenza RE070 ","bridgestone","premium","225/45/17/90/W",225,45,17,90,"W",,"No","No","JZ","Fitted","106.08"
"n/a","BlackCircles","Bridgestone Turanza T001 ","bridgestone","premium","225/45/17/91/W",225,45,17,91,"W",,"No","No",,"Fitted","105.92"
"n/a","BlackCircles","Bridgestone Turanza ER300 ","bridgestone","premium","225/45/17/91/W",225,45,17,91,"W",,"No","No","PZ","Fitted","106.08"
"n/a","BlackCircles","Bridgestone Potenza RE050 ","bridgestone","premium","225/45/17/90/W",225,45,17,90,"W",,"No","No",,"Fitted","106.08"
"n/a","BlackCircles","Bridgestone Potenza RE050 ","bridgestone","premium","225/45/17/91/W",225,45,17,91,"W",,"No","No","PZ","Fitted","106.08"
"n/a","BlackCircles","Bridgestone Turanza T001 ","bridgestone","premium","225/45/17/94/W",225,45,17,94,"W",,"Yes","No",,"Fitted","108.72"
"n/a","BlackCircles","Bridgestone Potenza S001 ","bridgestone","premium","225/45/17/94/W",225,45,17,94,"W",,"Yes","No",,"Fitted","110.04"
"n/a","BlackCircles","Bridgestone Potenza S001 ","bridgestone","premium","225/45/17/91/W",225,45,17,91,"W",,"No","No",,"Fitted","111.49"
"n/a","BlackCircles","Bridgestone Potenza RE050A1 ","bridgestone","premium","225/45/17/91/W",225,45,17,91,"W",,"No","Yes","*","Fitted","126.31"
"2254517ZBRS001X","BlackCircles","Bridgestone Potenza S001 ","bridgestone","premium","225/45/17/94/Y",225,45,17,94,"Y",,"Yes","No",,"Fitted","126.6"
"2254517ZBR050A1","BlackCircles","Bridgestone Potenza RE050A1 ","bridgestone","premium","225/45/17/91/Y",225,45,17,91,"Y",,"No","Yes","*","Fitted","126.77"
"2254517ZBRS001RF","BlackCircles","Bridgestone Potenza S001 ","bridgestone","premium","225/45/17/91/W",225,45,17,91,"W",,"No","Yes","*","Fitted","135.12"
