ProductID,FoldingType,LaminationType,PaperSize,PaperType,PaperTypeID,PrintOrientationID,PrintType,ProdQty,ProductType,Price,SalePrice,PrintPageNumber,IsActive,ProductTurnaroundID,VatRate,EmailArtwork,ProductCoverID,SubProductTypeID,ApplicationID,NoArtwork,ProdRange,ProductFinishingID,DateCreated
54015,NULL,Matt Lamination,A6,Exclusive 350gsm Silk,89,NULL,Single Sided,500,Flyers & Leaflets,38,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54016,NULL,No Lamination,A6,Economy 150gsm Silk,87,NULL,Double Sided,40000,Flyers & Leaflets,233,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54017,NULL,Matt Lamination,A6,Exclusive 350gsm Silk,89,NULL,Single Sided,1000,Flyers & Leaflets,43,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54018,NULL,No Lamination,A6,Economy 150gsm Silk,87,NULL,Double Sided,50000,Flyers & Leaflets,299,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54019,NULL,Matt Lamination,A6,Exclusive 350gsm Silk,89,NULL,Single Sided,2000,Flyers & Leaflets,65,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54020,NULL,No Lamination,A6,Economy 150gsm Silk,87,NULL,Double Sided,15000,Flyers & Leaflets,99,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54021,NULL,Matt Lamination,A6,Exclusive 350gsm Silk,89,NULL,Single Sided,5000,Flyers & Leaflets,139,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54022,NULL,No Lamination,A6,Economy 150gsm Silk,87,NULL,Double Sided,25000,Flyers & Leaflets,149,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54023,NULL,Matt Lamination,A6,Exclusive 350gsm Silk,89,NULL,Single Sided,10000,Flyers & Leaflets,249,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54024,NULL,Matt Lamination,A6,Economy 150gsm Silk,87,NULL,Double Sided,100,Flyers & Leaflets,25,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54025,NULL,Gloss Lamination,A6,Exclusive 350gsm Silk,89,NULL,Single Sided,10000,Flyers & Leaflets,249,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54026,NULL,Gloss Lamination,A6,Economy 150gsm Silk,87,NULL,Double Sided,100,Flyers & Leaflets,25,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54027,NULL,Gloss Lamination,A6,Exclusive 350gsm Silk,89,NULL,Single Sided,5000,Flyers & Leaflets,139,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54028,NULL,Velvet Lamination,A6,Economy 150gsm Silk,87,NULL,Double Sided,100,Flyers & Leaflets,25,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54029,NULL,Gloss Lamination,A6,Exclusive 350gsm Silk,89,NULL,Single Sided,2000,Flyers & Leaflets,65,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54030,NULL,Velvet Lamination,A6,Economy 150gsm Silk,87,NULL,Double Sided,250,Flyers & Leaflets,31,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54031,NULL,Gloss Lamination,A6,Exclusive 350gsm Silk,89,NULL,Single Sided,1000,Flyers & Leaflets,43,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54032,NULL,Gloss Lamination,A6,Economy 150gsm Silk,87,NULL,Double Sided,250,Flyers & Leaflets,29,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54033,NULL,Gloss Lamination,A6,Exclusive 350gsm Silk,89,NULL,Single Sided,500,Flyers & Leaflets,38,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54034,NULL,Matt Lamination,A6,Economy 150gsm Silk,87,NULL,Double Sided,250,Flyers & Leaflets,29,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54035,NULL,Gloss Lamination,A6,Exclusive 350gsm Silk,89,NULL,Single Sided,250,Flyers & Leaflets,29,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54036,NULL,Matt Lamination,A6,Economy 150gsm Silk,87,NULL,Double Sided,500,Flyers & Leaflets,36,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
