identifier,name,price,url,brand,category,image_url,stock
PYEVA/A,Eva Wig by Paula Young,65,http://www.naturalimagewigs.co.uk/Eva-Wig-by-Paula-Young.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/2014-01-py-eva-th.jpg,in stock
EVL/A,Everlasting Wig by Natural Image,195,http://www.naturalimagewigs.co.uk/Everlasting.html,Inspired,Wigs,http://www.naturalimagewigs.co.uk/images/T/everlasting_t.jpg,in stock
EVIE/P/P,Evie Wig by Joan Collins,169,http://www.naturalimagewigs.co.uk/Evie-Wig-by-Joan-Collins.html,Dynasty Hairstyles by Joan Collins,Wigs,http://www.naturalimagewigs.co.uk/images/T/jc_evie_t-01.jpg,in stock
EX,Excite Wig by Raquel Welch,199,http://www.naturalimagewigs.co.uk/Excite-Wig-by-Raquel-Welch.html,Raquel Welch,Wigs,http://www.naturalimagewigs.co.uk/images/T/t_303.gif,in stock
FAIT03/A,Faith Wig by Paula Young,89,http://www.naturalimagewigs.co.uk/Faith-Wig-by-Paula-Young.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/FAITH%20th.jpg,in stock
FANT02,Fantasy by Natural Image ,149,http://www.naturalimagewigs.co.uk/Fantasy-by-Natural-Image.html,Inspired,Wigs,http://www.naturalimagewigs.co.uk/images/T/fantasy_t.jpg,in stock
FLEU01,Fleur Wig by Jacqueline,69,http://www.naturalimagewigs.co.uk/Fleur-Wig-by-Jacqueline.html,Jacqueline,Wigs,http://www.naturalimagewigs.co.uk/images/T/t_fleur.jpg,in stock
PYFL/A,Flirty Wig by Paula Young,59,http://www.naturalimagewigs.co.uk/Flirty-Wig-by-Paula-Young.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/Flirty_Sept_T.jpg,in stock
FLA,Flora Wig by Natural Image,89,http://www.naturalimagewigs.co.uk/Flora.html,Natural Image,Wigs,http://www.naturalimagewigs.co.uk/images/T/flora_t.jpg,in stock
EF,Florida Wig by Jacqueline,39,http://www.naturalimagewigs.co.uk/Florida.html,Jacqueline,Wigs,http://www.naturalimagewigs.co.uk/images/T/florida_t.jpg,in stock
FRTU,Fortune Wig by Natural Image,165,http://www.naturalimagewigs.co.uk/Fortune-Wig-by-Natural-Image.html,Inspired,Wigs,http://www.naturalimagewigs.co.uk/images/T/fortune_t.jpg,in stock
FST,Freestyle Wig by Raquel Welch ,149,http://www.naturalimagewigs.co.uk/Freestyle-Wig-by-Raquel-Welch.html,Raquel Welch,Wigs,http://www.naturalimagewigs.co.uk/images/T/2014-rw-freestyle-th.jpg,in stock
FSS,Fresh Start Wig by Natural Image,80,http://www.naturalimagewigs.co.uk/Fresh-Start-Wig.html,Natural Image,Wigs,http://www.naturalimagewigs.co.uk/images/T/fresh_start_t.jpg,in stock
GARD,Gardenia Wig by Jacqueline,69,http://www.naturalimagewigs.co.uk/Gardenia-Wig-by-Jacqueline.html,Jacqueline,Wigs,http://www.naturalimagewigs.co.uk/images/T/gardenia_t.jpg,in stock
Z5412,Garnet Wig by Especially Yours (A),49,http://www.naturalimagewigs.co.uk/Garnet-Wig-by-Especially-Yours-A.html,Especially Yours,Wigs,http://www.naturalimagewigs.co.uk/images/T/xctmpoZh3ha.png,in stock
Z5412/L,Garnet Wig by Especially Yours (L),49,http://www.naturalimagewigs.co.uk/Garnet-Wig-by-Especially-Yours-L.html,Especially Yours,Wigs,http://www.naturalimagewigs.co.uk/images/T/xctmpoZh3ha.png,in stock
PYGAY,Gayle Wig by Paula Young (A),85,http://www.naturalimagewigs.co.uk/Gayle-Wig-by-Paula-Young.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/2014-01-py-gayle-th.jpg,in stock
PYGAY/L,Gayle Wig by Paula Young (L),85,http://www.naturalimagewigs.co.uk/Gayle-Wig-by-Paula-Young-L.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/2014-01-py-gayle-th.jpg,in stock
GE,Gem Hairpiece by Jacqueline,26,http://www.naturalimagewigs.co.uk/Gem.html,Jacqueline,Hairpieces,http://www.naturalimagewigs.co.uk/images/T/gem.jpg,in stock
ZGE,Gemini Wig by Natural Image,75,http://www.naturalimagewigs.co.uk/Gemini-Wig.html,Natural Image,Wigs,http://www.naturalimagewigs.co.uk/images/T/gemini_t-01.jpg,in stock
AD,Geneva Wig by Jacqueline,39,http://www.naturalimagewigs.co.uk/Geneva-AD.html,Jacqueline,Wigs,http://www.naturalimagewigs.co.uk/images/T/geneva_t.jpg,in stock
PYGE,Genie Wig by Paula Young (A),82,http://www.naturalimagewigs.co.uk/Genie.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/genie_t-01.jpg,in stock
PYGE/L,Genie Wig by Paula Young (L),82,http://www.naturalimagewigs.co.uk/Genie-Wig-by-Paula-Young-L.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/genie_t-01.jpg,in stock
PYGE/P,Genie Wig by Paula Young (P),82,http://www.naturalimagewigs.co.uk/Genie-Wig-by-Paula-Young-P.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/genie_t-01.jpg,in stock
PYGY,Gentry II Wig by Paula Young (A),85,http://www.naturalimagewigs.co.uk/Gentry-II.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/gentry_ii_t.jpg,in stock
PYGY/L,Gentry II Wig by Paula Young (L),85,http://www.naturalimagewigs.co.uk/Gentry-II-Wig-by-Paula-Young-L1.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/gentry_ii_t.jpg,in stock
PYGY/P,Gentry II Wig by Paula Young (P),85,http://www.naturalimagewigs.co.uk/Gentry-II-Wig-by-Paula-Young-P.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/gentry_ii_t.jpg,in stock
